artist,genre
$NOT,Pop
$uicideboy$,Pop
&friends,Pop
(G)I-DLE,K-Pop
*NSYNC,Pop
00pium !*,Pop
10cc,Blues
12 Gvge,Pop
16teen,Rock
1999 WRITE THE FUTURE,Hip-Hop/Rap
1da Banton,Pop
2 Chainz,Hip-Hop/Rap
21 Savage,Hip-Hop/Rap
22Gz,R&B
23 Unofficial,Pop
24kGoldn,House
2Pac,Hip-Hop/Rap
3 Of A Kind,Pop
310babii,Pop
3582,Pop
36oZ,Pop
3NIGMA,Pop
3OH!3,Punk
41,Pop
42 Dugg,Hip-Hop/Rap
49th & Main,Pop
4batz,Hip-Hop/Rap
5 Seconds of Summer,Dance
50 Cent,Hip-Hop/Rap
54 Ultra,Pop
637iso,Pop
6ix9ine,Hip-Hop/Rap
6LACK,R&B
6th Street Jazz,Jazz
702,Pop
730RARRI,Pop
80purppp,Pop
88JETZ,Pop
88rising,Hip-Hop/Rap
8D Tunes,Pop
[bsd.u],Chillout
A Boogie Wit da Hoodie,Hip-Hop/Rap
A Great Big World,Acoustic
A Little Time,Pop
A Tribe Called Quest,Hip-Hop/Rap
A Whisper,Pop
A$AP Ferg,Hip-Hop/Rap
A$AP Mob,Hip-Hop/Rap
A$AP Rocky,Hip-Hop/Rap
a-ha,Synth-pop
A-Wall,Pop
A. Blomqvist,Pop
A. Mayven,Pop
A.R. Rahman,Bollywood
A1 x J1,Chillout
Aadesh Shrivastava,Pop
Aaliyah,Pop
Aaron May,Pop
Aaron Smith,House
Aaron Xeres,Pop
Aastha Gill,Pop
ABBA,Pop
Abdel Halim Hafez,Pop
Abhijeet,Bollywood
Abigail Albright,Pop
ABRA,Hip-Hop/Rap
Abra Cadabra,Hip-Hop/Rap
Abstract Orchestra,Classical
AC/DC,Hard Rock
Accelera Deck,Pop
accelerate,Pop
Ace of Base,Pop
Ace Spectrum,Pop
Action Bronson,Hip-Hop/Rap
Ad Tranquilitas,Ambient
Adam Gallo,Pop
Adekunle Gold,R&B
Adele,Pop
Aditi Singh Sharma,Indian Pop
Adnan Sami,Bollywood
Adonai Michel,Classical
adrain,Pop
Adrianne Lenker,Pop
Adriel Holt,Pop
Adrienne Clotard,Pop
Aero Chord,Pop
Aerosmith,Hard Rock
Afroman,Comedy
AgonyOST,Electronic
Agustin Pereyra Lucena,Pop
Ahmad Jamal,Jazz
Ahmad Jamal Trio,Pop
Ahrix,Dance
Aikeem Vill,Pop
Aimee Fleur,Pop
Air,Trip-Hop
Aitch,German Pop
AJ,Hip-Hop/Rap
AJ Tracey,Hip-Hop/Rap
Ajay Gogavale,Bollywood
Ajay-Atul,Bollywood
AJR,Rock
Akamodo,Pop
Akon,Dance
Akriti Kakar,Pop
Al Bowlly,Classical
Al Green,Blues
Al Stewart,Pop
Alabama Shakes,Blues
Alan Baylock Jazz Orchestra,Jazz
Alan Jameson,Pop
Alan Leon,Hip-Hop/Rap
Alan Silvestri,Pop
alan vuong,Pop
Alan Walker,House
Alberto Baldan Bembo,Pop
Alec Dufner,Classical
Alec Taylor,Pop
Alec Taylor Trio,Pop
Alek Olsen,Pop
Aleron Lapointe,Rock
Alex Flynn,Pop
Alex Laude,Pop
Alex Warren,Pop
Alex1,Chillout
Alexa ASMR,Ambient
Alexander Descartes,Pop
Alexander Scriabin,Pop
Alexandre Desplat,French Pop
Alfie Templeman,Indie Pop
Alfie Walker,Pop
Alfreda Brockington,Rock
Alfredo Evans,Pop
Algot Aelster,Pop
Ali Azmat,Pop
Alice Coltrane,Pop
Alice Frohde,Pop
Alice Phoebe Lou,House
Alicia Keys,R&B
Aliz Uveges,Pop
Alka Yagnik,K-Pop
all under heaven,Pop
Alleh,Pop
Allen Vizzutti / Jeff Tyzik,Pop
Almost Here,Pop
Alphaville,Synth-pop
AlunaGeorge,Electronic
Alur Mcrose,Pop
Alva Nørgaard,Pop
Alvin Risk,Pop
Alyssa Mendonsa,Bollywood
Ama,Pop
Amaal Mallik,Bollywood
Amanaz,Pop
Amanda Heartwood,Pop
AMB,Pop
America,Country
Ameritz Audio Karaoke,Pop
Ami Mishra,Pop
Aminé,Pop
Amit Kumar,Bollywood
Amit Trivedi,Bollywood
Amitabh Bachchan,Classical
Ancestral Beats,Pop
Anderson .Paak,Dance
Andrea Leiva Classical Hits,Classical
Andrea Romano,Classical
Andrew Rick,Pop
Andrew Seoul,Pop
Andy Luma,Pop
Andy Mineo,World
Angel Gregoire,Pop
Angela Rowles,Pop
Angelina Winter,Pop
Angie Goodham,Pop
Angry Children,Pop
Angus Grove,Pop
Anissa Henderson,Pop
Ankit Tiwari,Bollywood
Ankur Tewari,Singer-Songwriter
Ann Reinking,Musical Theatre
Anna Niva,Pop
